dataset,seed,n_train_full,n_train_ref,n_test,D,anom_frac,auroc_iso_loo,t_iso_loo_s,auroc_iso_trim_loo,t_iso_trim_loo_s,auroc_trim_isonorm_blend,t_trim_isonorm_blend_s,wallclock_s
40_vowels,2,703,703,753,12,0.0664010624169986,0.9809672830725462,0.3246335983276367,0.9809672830725462,0.3304131031036377,0.9813371266002844,0.3360674381256103,0.9957668781280518
41_Waveform,0,1671,1671,1772,21,0.0564334085778781,0.7602511961722488,3.117786407470703,0.7602511961722488,3.0982742309570312,0.7516806220095693,3.2363743782043457,9.486990213394163
41_Waveform,1,1671,1671,1772,21,0.0564334085778781,0.7814413875598086,3.085465669631958,0.7814413875598086,3.0807623863220215,0.7770753588516747,3.0958499908447266,9.270069122314451
41_Waveform,2,1671,1671,1772,21,0.0564334085778781,0.7699043062200956,3.086422920227051,0.7699043062200956,3.0751309394836426,0.7580562200956937,3.0977954864501953,9.268913269042969
42_WBC,0,106,106,117,9,0.0854700854700854,0.9803738317757008,0.0096137523651123,0.977570093457944,0.0090880393981933,0.9803738317757008,0.0395295619964599,0.0738887786865234
42_WBC,1,106,106,117,9,0.0854700854700854,0.991588785046729,0.0085959434509277,0.9934579439252336,0.0087296962738037,0.9925233644859812,0.0104472637176513,0.0305864810943603
42_WBC,2,106,106,117,9,0.0854700854700854,0.9953271028037384,0.0085866451263427,0.9934579439252336,0.0086784362792968,0.9934579439252336,0.0104391574859619,0.0302991867065429
43_WDBC,0,178,178,189,30,0.0529100529100529,0.9944134078212292,0.0515785217285156,0.993854748603352,0.0511846542358398,0.993854748603352,0.068899393081665,0.1944713592529297
43_WDBC,1,178,178,189,30,0.0529100529100529,0.9899441340782124,0.0505838394165039,0.9899441340782124,0.050786018371582,0.9899441340782124,0.053542137145996,0.1587147712707519
43_WDBC,2,178,178,189,30,0.0529100529100529,0.9955307262569832,0.0504109859466552,0.993854748603352,0.0506079196929931,0.993854748603352,0.0534775257110595,0.158205509185791
44_Wilt,0,2281,2000,2538,5,0.1012608353033884,0.5777365719520247,1.493069410324097,0.7657556843284996,1.48036789894104,0.7657556843284996,1.5567851066589355,4.572838306427002
44_Wilt,1,2281,2000,2538,5,0.1012608353033884,0.6888524215435582,1.5287952423095703,0.784129426475179,1.532259464263916,0.784129426475179,1.5909864902496338,4.6590564250946045
44_Wilt,2,2281,2000,2538,5,0.1012608353033884,0.5680541505961103,1.511193037033081,0.7873517827016275,1.5149383544921875,0.7873517827016275,1.5733025074005127,4.6064958572387695
45_wine,0,59,59,70,13,0.1428571428571428,0.9783333333333334,0.005563735961914,0.9783333333333334,0.0053393840789794,0.9766666666666668,0.0214323997497558,0.0732951164245605
45_wine,1,59,59,70,13,0.1428571428571428,0.9766666666666668,0.0049784183502197,0.9766666666666668,0.005002737045288,0.9383333333333334,0.0064239501953125,0.0193514823913574
45_wine,2,59,59,70,13,0.1428571428571428,0.9716666666666668,0.0048115253448486,0.9716666666666668,0.0048885345458984,0.95,0.006237506866455,0.0186364650726318
46_WPBC,0,75,75,123,33,0.3821138211382114,0.5215565509518477,0.0128445625305175,0.5215565509518477,0.0118923187255859,0.5212765957446809,0.0921211242675781,0.1444923877716064
46_WPBC,1,75,75,123,33,0.3821138211382114,0.5523516237402015,0.0113866329193115,0.5523516237402015,0.0114686489105224,0.5271556550951848,0.0134203433990478,0.0397264957427978
46_WPBC,2,75,75,123,33,0.3821138211382114,0.5674692049272116,0.0115485191345214,0.5674692049272116,0.011521577835083,0.538073908174692,0.0134012699127197,0.0398054122924804
47_yeast,0,488,488,996,8,0.5090361445783133,0.4829765693380606,0.1290855407714843,0.4810969534895915,0.1265709400177002,0.4811009869999959,0.140355110168457,0.4237806797027588
47_yeast,1,488,488,996,8,0.5090361445783133,0.4511360382054106,0.1256773471832275,0.4477478894656809,0.1253516674041748,0.4477478894656809,0.1331746578216552,0.3880155086517334
47_yeast,2,488,488,996,8,0.5090361445783133,0.4829564017860384,0.1251275539398193,0.4735986576477374,0.1251540184020996,0.4736067246685463,0.1335945129394531,0.387667179107666
4_breastw,0,222,222,461,9,0.5184381778741866,0.9879942704210488,0.032698631286621,0.9915375626672696,0.0336518287658691,0.9910663801877192,0.0670571327209472,0.1532096862792968
4_breastw,1,222,222,461,9,0.5184381778741866,0.9928945682083756,0.0313801765441894,0.9921029816427306,0.0332639217376709,0.9932715141920162,0.0368447303771972,0.1046144962310791
4_breastw,2,222,222,461,9,0.5184381778741866,0.993045346601832,0.0315237045288085,0.99451543593803,0.0338654518127441,0.9949300765200348,0.0372180938720703,0.105583906173706
5_campaign,0,18274,2000,22914,62,0.2024962904774373,0.7915278750099067,19.11304998397827,0.7884541066448281,19.08733105659485,0.7884552860102728,19.22319197654724,57.565356969833374
5_campaign,1,18274,2000,22914,62,0.2024962904774373,0.7881017122499274,19.040019035339355,0.784710340770569,19.041163682937626,0.7847114493740871,19.18715739250183,57.374582052230835
5_campaign,2,18274,2000,22914,62,0.2024962904774373,0.7959057856838244,18.97112250328064,0.7918904355349413,18.969956398010257,0.7918906832016848,19.103647470474243,57.15206217765808
6_cardio,0,827,827,1004,21,0.1752988047808765,0.961421277997365,0.7615516185760498,0.961421277997365,0.7533557415008545,0.9614144158981116,0.786189079284668,2.3158912658691406
6_cardio,1,827,827,1004,21,0.1752988047808765,0.9665953008344312,0.7539091110229492,0.9636445981554678,0.7471461296081543,0.9636445981554678,0.762474536895752,2.26891565322876
6_cardio,2,827,827,1004,21,0.1752988047808765,0.9610850351339482,0.7472927570343018,0.9610850351339482,0.7443375587463379,0.9611605182257356,0.7580959796905518,2.25492525100708
7_Cardiotocography,0,824,824,1290,21,0.3612403100775194,0.7989629776240676,0.7716536521911621,0.7989629776240676,0.7621808052062988,0.7989629776240676,1.0880906581878662,2.651432514190674
7_Cardiotocography,1,824,824,1290,21,0.3612403100775194,0.8189586024417683,0.7631375789642334,0.8189586024417683,0.7566659450531006,0.8190028751197966,0.7713990211486816,2.2970242500305176
7_Cardiotocography,2,824,824,1290,21,0.3612403100775194,0.8126692778865785,0.7568323612213135,0.8126692778865785,0.7561070919036865,0.8126692778865785,0.8004870414733887,2.3191616535186768
8_celeba,0,99026,2000,103573,39,0.0439014028752667,0.740746272920813,29.64386415481567,0.740746272920813,29.638785123825073,0.700158029419877,29.962026119232178,89.68004846572876
8_celeba,1,99026,2000,103573,39,0.0439014028752667,0.7279433616568105,29.608882665634155,0.7279433616568105,29.60108518600464,0.6871676722435528,29.872174978256226,89.47113251686096
8_celeba,2,99026,2000,103573,39,0.0439014028752667,0.75244851535282,29.57151746749878,0.75244851535282,29.559659004211422,0.7500795276230201,29.822943925857544,89.30465197563171
9_census,0,140358,2000,158927,500,0.1168335147583481,0.697019223815066,497.67420768737793,0.7066353800856553,496.889616727829,0.706353795415651,503.1617603302002,1504.5038266181946
9_census,1,140358,2000,158927,500,0.1168335147583481,0.6999593834041108,496.8996889591217,0.708657848427507,496.8376395702362,0.7083988035923356,502.8652260303498,1503.2759404182434
9_census,2,140358,2000,158927,500,0.1168335147583481,0.7091749115018622,497.104665517807,0.7151258304016187,497.1457269191742,0.7150526763725364,503.38009428977966,1504.2994554042816
